央视频道,#genre#
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
山东卫视HD,http://107.150.60.122/live/sdwshd.m3u8
天津卫视HD,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视HD,http://107.150.60.122/live/snwshd.m3u8
广东卫视HD,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视HD,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
北京卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
**新影-发现之旅,http://107.150.60.122/live/fxzl.m3u8
**新影-老故事,http://107.150.60.122/live/lgs.m3u8
中国教育3,http://107.150.60.122/live/cetv3.m3u8
广东珠江,http://107.150.60.122/live/gdzj.m3u8
广东体育,http://107.150.60.122/live/gdty.m3u8
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广西影视,http://107.150.60.122/live/gxys.m3u8
广西综艺旅游,http://107.150.60.122/live/gxzy.m3u8
广西都市,http://107.150.60.122/live/gxds.m3u8
广西新闻,http://107.150.60.122/live/gxxw.m3u8
广西国际,http://107.150.60.122/live/gxgj.m3u8
湖北综合,http://107.150.60.122/live/hbzh.m3u8
湖北经视,http://107.150.60.122/live/hbjs.m3u8
湖北影视,http://107.150.60.122/live/hbys.m3u8
湖北教育,http://107.150.60.122/live/hbjy.m3u8
湖北垄上,http://107.150.60.122/live/hbls.m3u8
湖北生活,http://107.150.60.122/live/hbty.m3u8
湖南娱乐,http://107.150.60.122/live/hnyl.m3u8
湖南教育,http://107.150.60.122/live/hnjy.m3u8
吉林都市,http://107.150.60.122/live/jlds.m3u8
吉林综艺文化,http://107.150.60.122/live/jlfz.m3u8
吉林生活,http://107.150.60.122/live/jlsh.m3u8
新疆汉语影视,http://107.150.60.122/live/xjtv6.m3u8
新疆汉语体育健康,http://107.150.60.122/live/xjtv7.m3u8
江西少儿家庭,http://107.150.60.122/live/jxtv6.m3u8
江西新闻频道,http://107.150.60.122/live/jxtv7.m3u8
台港澳频道,#genre#
凤凰资讯,http://221.7.175.154:8445/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
tvbs亚洲,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
民视新闻,http://rihou.cc:555/tv/%E6%B0%91%E8%A7%86%E6%96%B0%E9%97%BB
公视高清,http://211.72.174.95:8116/0.ts
中视高清,http://220.135.241.47:8301/0.ts
华视高清,http://220.135.241.47:8317/0.ts
台视高清,http://211.72.174.95:8112/0.ts
台视财经,http://220.135.241.47:8315/0.ts
한국 kbs,#genre#
parse=1 
ua=Mozilla/5.0（Windows NT 10.0；Win64；x64）AppleWebKit/537.36（KHTML，如 Gecko）Chrome/108.0.0.0 Safari/537.36 KBS1,https://vod.kbs.co.kr/embed_live.html?ch_code=11 
KBS1,https://vod.kbs.co.kr/embed_live.html?ch_code=11 
KBS2,https://vod.kbs.co.kr/embed_live.html?ch_code=12 
KBSworld,https://vod.kbs.co.kr/embed_live.html?ch_code=14 
KBSnews,https://vod.kbs.co.kr/embed_live.html?ch_code=81 
KBSdrama,https://vod.kbs.co.kr/embed_live.html?ch_code=N91 
KBSjoy,https://vod.kbs.co.kr/embed_live.html?ch_code=N92
KBSlife,https://vod.kbs.co.kr/embed_live.html?ch_code=N93 
KBSstory,https://vod.kbs.co.kr/embed_live.html?ch_code =N94 
KBSkids,https://vod.kbs.co.kr/embed_live.html#ch_code=N96 
한국,#genre#
KBS1,http://124.222.153.240/kakaotv/get_channel.php?channel=kbs1
KBS2,http://124.222.153.240/kakaotv/get_channel.php?channel=kbs2
sbs,http://124.222.153.240/kakaotv/get_channel.php?channel=sbs
sbs,http://61.85.197.53:1935/jtv_live/myStream/playlist.m3u8
sbs,http://1.222.207.80:1935/live/cjbtv/chunklist_w38222235.m3u8
sbs,http://123.140.197.22/stream/1/play.m3u8
mbc,http://124.222.153.240/kakaotv/get_channel.php?channel=mbc
mbc,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
mbc,https://ns1.tjmbc.co.kr/live/myStream.sdp/chunklist_w1360221955.m3u8
mbc,http://vod.mpmbc.co.kr:1935/live/encoder-tv/chunklist_w260947833.m3u8
티비조선,http://onair.cdn.tvchosun.com/origin1/_definst_/tvchosun_s1/playlist.m3u8?checkedby:iptvcat.com
jtbc,https://noh-slb-samsung-fastcdn.uplus.co.kr/jtbc.stream/noll_index-v1-a1.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7
채널A,http://mdlstay.com:9981/stream/channelid/1649494337?ticket=B00F8DB21CE601AF69B273405592A63180C03700&profile=pass
tvN,https://d21dxaer0ypwk1.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-a6m2cy2rylsvo-ssai-prd/54ac8e25_eb5a_4f10_ba20_ffb254f0a16c/hls/playlist.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D&ads.service_id=KRBC32000261J
ybtv1,https://srs.iyb983.cn/video/ybtv1/index.m3u8
ybtv2,https://srs.iyb983.cn/video/ybtv2/index.m3u8
연변위성,https://srs.iyb983.cn/video/CYS/index.m3u8
ytn,http://210.92.207.38:40001
YTN2,https://ytn2live.ytn.co.kr/ytn2/_definst_/20211118_ytn2/medialist_9171188557012390620_hls.m3u8
연합뉴스,https://noh-slb-samsung-fastcdn.uplus.co.kr/yna.stream/noll_index-v1-a1.m3u8?ads.device_did=%7BPSID%7D&ads.device_dnt=%7BTARGETOPT%7D&ads.app_domain=%7BAPP_DOMAIN%7D&ads.app_name=%7BAPP_NAME%7D&castis.cid=yna.stream
연합뉴스,https://tving-live-o2-xcdn.tving.com/o2/v1/019dd8deb9f5153d7865157cdbfbd6/019dd8df3d75153d7865157cdbfbd9/playlist.m3u8?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ0dmluZy5jb20iLCJleHAiOjE3ODE1NzU0MjUsInBhdGgiOiIvbzIifQ._0V8dQF-We33Wp-pUUNfF5X4d_gSMbpryQq03NYJnQo
tvN story,https://d2zyqoz1zsj2mq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-i9yul1lyegl6e-ssai-prd/6d07fe2a_003a_4879_acfc_44e3c3c10f03/hls/playlist.m3u8?
KBSWorld,http://koreatv.dothome.co.kr/kbsworld.php
KBSStory,http://koreatv.dothome.co.kr/kbsstory.php
KBSLife,http://koreatv.dothome.co.kr/kbslife.php
KBSDrama,http://koreatv.dothome.co.kr/kbsdrama.php
KBSKids,http://koreatv.dothome.co.kr/kbskids.php
KBSJoy,http://koreatv.dothome.co.kr/kbsjoy.php
한국경제TV,http://cdnmlive.wowtv.co.kr/wowmo/livestream/chunklist_w43658333.m3u8
서울경제,https://3fceda0143c84c19a85d78fcdc2227b3.mediatailor.ap-northeast-2.amazonaws.com/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-muet4ltb2qlh3/3b82faa9-7041-45e1-a61b-5405b8f1c824/0.m3u8
서울경제,https://jmp2.uk/sam-KR7000044K.m3u8
아리랑,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
ebs1,http://ebsonair.ebs.co.kr/ebs1familypc/familypc1m/playlist.m3u8
ebs2,http://ebsonair.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
ebse,http://ebsonair.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
ebs키즈,http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
国外频道,#genre#
CNN,https://ds2c506obo7m8.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-7zjq3tdqasbg8/index.m3u8
FOX,http://40.160.24.52/FOX/index.m3u8
FOX NEWS,http://40.160.24.52/FOX_NEWS/index.m3u8FLIX,http://40.160.24.52/FLIX/index.m3u8
FOX BUSINESS,http://40.160.24.52/FOX_BUSINESS/index.m3u8
BBC WORLD,http://40.160.24.52/BBC_WORLD_NEWS/index.m3u8
ABC,http://40.160.24.52/ABC/index.m3u8
BBC AMERICA,http://40.160.24.52/BBC_AMERICA/index.m3u8
NBC News NOW,https://d4whmvwm0rdvi.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-nbcu-linear/3e088b25-3e79-4f34-bbdf-afbcd40497f3/4.m3u8
BBC News UK,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC News International,https://d3pxo1qcgzxtxs.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-linear-amc-hlsv3/5ab832c0-311a-4705-9535-5e54ad64b21e/5.m3u8
Sky News,https://xumo-drct-skynews-nc91a.fast.nbcuni.com/live/master_5.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
BLOOMBERG,http://40.160.24.52/BLOOMBERG/index.m3u8
CHEDDAR NEWS,http://40.160.24.52/CHEDDAR_NEWS/index.m3u8
ACTIONMAX,http://40.160.24.52/ACTIONMAX/index.m3u8
CINEMAX EAST,http://40.160.24.52/CINEMAX_EAST/index.m3u8
CINEMAX WEST,http://40.160.24.52/CINEMAX_WEST/index.m3u8
AMC PLUS,http://40.160.24.52/AMC_PLUS/index.m3u8
E ENTERTAINMENT,http://40.160.24.52/E_ENTERTAINMENT_WEST/index.m3u8
EPIX DRIVE IN,http://40.160.24.52/EPIX_DRIVE-IN/index.m3u8
E ENTERTAINMENT,http://40.160.24.52/E_ENTERTAINMENT_WEST/index.m3u8
BOUNCE,http://40.160.24.52/BOUNCE/index.m3u8
BRAVO,http://40.160.24.52/BRAVO/index.m3u8
BRAVO WEST,http://40.160.24.52/BRAVO_WEST/index.m3u8
GLOBAL FASHION,https://pubgfc.teleosmedia.com/linear/globalfashionchannel/globalfashionchannel/cdbe280e-0aea-4bbe-861f-fd115abcfec7_1080p.m3u8
EPIX DRIVE IN,http://40.160.24.52/EPIX_DRIVE-IN/index.m3u8PTV Sports,http://103.165.93.31:8095/ptv/tracks-v1a1/mono.m3u8
ESPN HD,http://40.160.24.52/ESPN_HD/index.m3u8
T Sports,http://103.165.93.31:8095/tsports/tracks-v1a1a2/mono.m3u8
Craze TV,https://dfr80qz435crc.cloudfront.net/MNOP/Amagi/Caze/Caze_TV_BR/Caze_TV.m3u8
Channel 1 Sports,https://cdn-tt.pages.dev/ch1.m3u8
FOX SOCCER PLUS,http://40.160.24.52/FOX_SOCCER_PLUS/index.m3u8
CBS SPORTS NETWORK,http://40.160.24.52/CBS_SPORTS_NETWORK/index.m3u8
ESPN NEWS,http://40.160.24.52/ESPN_NEWS/index.m3u8
ESPN U,http://40.160.24.52/ESPN_U/index.m3u8
MSG PLUS,http://40.160.24.52/MSG_PLUS/index.m3u8
MSG,http://40.160.24.52/MSG/index.m3u8
MSG 2,http://40.160.24.52/MSG_2/index.m3u8
NESN,http://40.160.24.52/NESN/index.m3u8
DIY,http://40.160.24.52/DIY/index.m3u8
FREEFORM,http://40.160.24.52/FREEFORM/index.m3u8
FX,http://40.160.24.52/FX/index.m3u8
E ENTERTAINMENT EAST,http://40.160.24.52/E_ENTERTAINMENT_EAST/index.m3u8
BET HER,http://40.160.24.52/BET_HER/index.m3u8
BET JAMS,http://40.160.24.52/BET_JAMS/index.m3u8
BET SOUL,http://40.160.24.52/BET_SOUL/index.m3u8
BET SOUL,http://40.160.24.52/BET_SOUL/index.m3u8
BET WEST,http://40.160.24.52/BET_WEST/index.m3u8
BUZZR,http://40.160.24.52/BUZZR/index.m3u8
C SPAN HD,http://40.160.24.52/C-SPAN_HD/index.m3u8
C SPAN,http://40.160.24.52/C-SPAN_2/index.m3u8
CARTOON NETWORK,http://40.160.24.52/CARTOON_NETWORK_EAST/index.m3u8
CHARGE,http://40.160.24.52/CHARGE/index.m3u8
FETV,http://40.160.24.52/FETV/index.m3u8
FOOD NETWORK,http://40.160.24.52/FOOD_NETWORK/index.m3u8
BET EAST,http://40.160.24.52/BET_EAST/index.m3u8
AMERICAN HEROES,http://40.160.24.52/AMERICAN_HEROES_CHANNEL/index.m3u8
ASPIRE,http://40.160.24.52/ASPIRE/index.m3u8
AWE,http://40.160.24.52/AWE/index.m3u8
AXS,http://40.160.24.52/AXS_TV/index.m3u8
5 STARMAX,http://40.160.24.52/5_STARMAX/index.m3u8
ACC NETWORK,http://40.160.24.52/ACC_NETWORK/index.m3u8
AE,http://40.160.24.52/AE/index.m3u8
CHEDDAR BUSINESS,http://40.160.24.52/CHEDDAR_BUSINESS/index.m3u8
ANIMAL PLANET,http://40.160.24.52/ANIMAL_PLANET/index.m3u8
ANTENNA TV,http://40.160.24.52/ANTENNA_TV/index.m3u8
ACCU WEATHER,http://40.160.24.52/AccuWeather/index.m3u8
LiveNOW from FOX,https://s11host2.localnow.api.cms.amdvids.com/v1/manifest/c189661feba961c19bc5fb60b57879ee9b84548a/config13/25a2f26d-fa83-469b-a0c6-0d4508fec2c0/2.m3u8
NEWSMAX,https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/3.m3u8
Reuters,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/e7493ea5-5c1c-4d7a-a3f7-e95516048ad8/3.m3u8
C-SPAN,http://bgdc.live:25461/catrinamcdermott/catrinamcdermott/31396
INFAST,https://lifestyle-rakuten.amagi.tv/playlist1080-p.m3u8
国外体育,#genre#
ESPNU,http://23.237.104.106:8080/USA_ESPNU/index.m3u8
ESPN Deportes,http://6e8e416e.rossteleccom.net/iptv/5UTLZ77ZYQACMQ7WU4546MEU/30063/index.m3u8
ESPN8: The Ocho,https://d3b6q2ou5kp8ke.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-vz67vw1bljinm/aab88f58-adb6-4466-aceb-3b71a6f23411/4.m3u8
ACC Network,http://23.239.31.26:8989/accnetwork/index.m3u8
SEC Network,http://23.237.104.106:8080/USA_SEC_NETWORK/index.m3u8
NBC Sports NOW,https://d4whmvwm0rdvi.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-nbcu-linear/9ed59304-2f35-4c88-9b99-34153edef42b/4.m3u8
Big Ten Network,http://23.237.104.106:8080/USA_BTN/index.m3u8
NFL Network,http://23.237.104.106:8080/USA_NFL_NETWORK/index.m3u8
NFL RedZone,https://starshare.st/live/P4B9TB9xR8/humongous2tonight/23550.ts
NHL Network,https://nhl-firetv.amagi.tv/playlist1080p.m3u8
F1 Channel,https://amg12058-c15studio-amg12058c1-lg-us-5787.playouts.now.amagi.tv/ts-us-e2-n2/playlist/amg12058-c15medianetworkslimitedfast-formula1tv-lgus/cb553d1e7f6c678a93d43e61d4ef41a4da2427fc087a8d6933fb4b926bc10f41f8eda29ab30fb02b04940fa73f4e380d4d1a9a4ace0362d7b66aa9515b7d121b9d81a20a99d94e5cd58d5d5173f7651b52f91016d6354b59f1dd3724c97db9700e16a82e6b553982f449de2e109add5f947e2d88b3dd7f39635a4ffc0c0bb4e207bcfae25a5bdb6ab3a51e4f9d2b44b6d640d4821ab882c95a9f15866bf9409bc6edda8643d0d29966af06ba305f025617f1817d80875ab2ca881b51f61713613a65d49ec980245087435012faeac5bb69fa1acafb4beb0c0c9a30a870a605a44f862c9abb0dcac2badb510f3da1d2526222adeaa48ff74743d708c086cceb5a5fbcc9395763ec41e5785152fbfccf07cac01a83b83797ad1b7652a9aa66b4a89cb7dd89b010ec4facc6f08b734b5e116268e2668baa50816ab717a9ca006f5b4954bf995aca95dc5024103fecee65f3372b8be4a8acf13d1ee4542600a90ab75a017f8230696aec2efc973d678c5465ef5806df7d03a961d98701d48cfed85c4bdfb8c646ec21fab478b49c6692581d6458cb98415e415f33d4e16802246ac649e8a1ad8b123224c2c4f0a4b2395f063d041c058de39517f1ebfb003b37fc09650a1b1113854ad779cf135d0f3ccc0bc1a07b04ef681a0cd697006e6e43a4ed84b3abeb9005df11d2cbee772e2b4975b821162f61ddc4e23390036a4e4a62b62a56709428747fb0eaa38898847d808977ba2a6b0262c6e9652f633e485639a4a05afe68c3b02484c1b136a7ee89010b842cb30f1193d5ae009287bae67f3faf84763442aa8966af1d2cc3049a2f8dc479dbb5411f0c393227a8e36fdb7a8ff6b9e214ae159d6a3e249112d09de7a0986f50e6855323367b397d15695f0a2d87eeec542546b6f84d8a5ce2f81bbd4346343a53df86722aec9a4c28bd0759459181efb48ce62f3ffd4bd048931d69ca56093dafc83dfc8ab1f6f3831d396ab28d8f698d88aba4f3ffee1b247906579ac54c1b7bd93282eb6d84963151dbb4b9e5b016fff449a8d9fed41bd77ecdfeb207ba9599bec863164a5f448eb99d983afaccc7c12619a12003178e9eecb444f6dfae0e7beb2780cf673ce856f63ab8283eff6c6b38c419537fb4ea9c2e600a61aa900711cd36ae233332d2c5886d3ac8cc35422cf180da0056850412e5080b2ffc3cb2aabe6a66efa81c1359b64b2e826381c499715871eebd5565124d5d45368015637bad7e4bb50abee1d5b46a0b8715c55a6ce837fc9417ef8924dadee8bfeee9316ea2b72b13f104e842f900c6cb80f53deb0235f926c15432e88f9ccdc9eac6a5c6904b094fd817cd7ba71cfee99ad14d746d2b8e306a1f17ab6784616f749bcb52c6a23f09a7ceed0fc67c39660a063fc21cfed155677663b1a41ab9d879697d6320e2a157e7f3d5b1ca5bfc11573123955e54f2e3ab6751e554ccfbf3/10/1920x1080_5287612/index.m3u8
Red Bull TV,https://0b73ace69ebb45eaa249bb87837cb958.mediatailor.us-west-2.amazonaws.com/v1/manifest/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-644-WORBUSENFAST-LG_US/a9fb7059-0e09-45d6-a75e-7740c2bf8316/1.m3u8
MSG,http://23.237.104.106:8080/USA_MSG/index.m3u8
UFC,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/194a140c-0cf5-443e-b747-08bf621d75a8/0.m3u8
PFL,https://aka-live1050.delivery.roku.com/120da388-708f-4b8f-b4f4-8d564c348eb1/t2-origin/out/v1/live_1080.m3u8
The Cowboy Channel,https://s11host2.localnow.api.cms.amdvids.com/v1/manifest/c189661feba961c19bc5fb60b57879ee9b84548a/config13/6734bc78-b4d5-4d7c-95d1-f1c29f5ae1a7/4.m3u8
国外影视,#genre#
FX,http://23.237.104.106:8080/USA_FX/index.m3u8
Hallmark Channel,http://23.237.104.106:8080/USA_HALLMARK/index.m3u8
Hallmark Mystery,http://ad8147ee.cbilant.com/iptv/ZUGHA6ZCCHRXMQB594EQKPDE/1075/index.m3u8
LMN,http://23.237.104.106:8080/USA_LMN/index.m3u8
Syfy,http://23.237.104.106:8080/USA_SYFY/index.m3u8
Comet TV,https://fast-channels.sinclairstoryline.com/COMET/index.m3u8
MeTV,http://6e8e416e.rossteleccom.net/iptv/5UTLZ77ZYQACMQ7WU4546MEU/1096/index.m3u8
Ion,https://dbrb49pjoymg4.cloudfront.net/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/a5e7ebd8-80a4-49ed-8337-3f63f84673cc/1.m3u8
Paramount Network,http://23.237.104.106:8080/USA_PARAMOUNT_NETWORK/index.m3u8
IFC,http://23.237.104.106:8080/USA_IFC/index.m3u8
Bounce,http://23.237.104.106:8080/USA_BOUNCE/index.m3u8
